county,well_records,median_depth_ft,depth_p25_ft,depth_p75_ft,median_static_water_level_ft,median_yield_gpm,complete_system_low_usd,complete_system_high_usd
"Tyler",1691,176,120,250,42,20,9600,16000
"Upshur",1035,470,340,562,177,40,28800,48000
"Upton",1910,340,300,400,200,35,23400,39000
"Uvalde",1810,270,148,440,92,23,18000,30000
"Val Verde",962,420,235,476,110,20,24060,40100
"Van Zandt",2353,440,300,520,150,25,26400,44000
"Victoria",3863,150,105,195,50,50,8580,14300
"Walker",1767,260,190,363,85,30,15600,26000
"Waller",3706,244,201,300,90,50,14700,24500
"Ward",712,200,130,303,60,80,12060,20100
"Washington",4288,245,188,324,95,40,14700,24500
"Webb",1020,680,500,1689,195,50,42000,70000
"Wharton",3468,200,140,255,48,75,12000,20000
"Wheeler",1141,165,115,239,56,30,9900,16500
"Wichita",348,35,28,44,16,13,2400,4000
"Wilbarger",387,40,32,54,18,15,2400,4000
"Willacy",59,805,540,909,33,55,50580,84300
"Williamson",3401,560,462,742,350,30,34800,58000
"Wilson",2528,375,310,430,110,50,22800,38000
"Winkler",659,286,155,580,122,100,14400,24000
"Wise",7251,220,170,320,85,15,13200,22000
"Wood",1333,360,115,532,85,43,26400,44000
"Yoakum",3305,188,160,240,100,60,11280,18800
"Young",729,180,100,240,50,13,12000,20000
"Zapata",70,500,420,580,110,30,30000,50000
"Zavala",453,450,279,1000,265,50,32700,54500
